Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-11-09,Miami Heat,,Udonis Haslem,placed on IL with back spasms,74.0,0.0,regular,2013,7.0,False,back,torso
2013-11-09,Nets,,Andrei Kirilenko,placed on IL with back injury,,,,,,,back,torso
2013-11-10,Oklahoma City Thunder,,Nick Collison,placed on IL with bruised left hip,75.0,0.0,regular,2013,6.0,False,hip,upper leg
2013-11-11,Charlotte Bobcats,,James Southerland,placed on IL,74.0,0.0,regular,2013,7.0,False,roaster move,healthy inactive
2013-11-11,Cleveland Cavaliers,,Sergey Karasev,placed on IL,73.0,0.0,regular,2013,8.0,False,roaster move,healthy inactive
2013-11-11,Denver Nuggets,,JaVale McGee,placed on IL with stress fracture in left tibia (out for season),65.0,0.0,regular,2013,6.0,False,tibia,lower leg
2013-11-11,Detroit Pistons,,Josh Harrellson,placed on IL,73.0,0.0,regular,2013,6.0,False,roaster move,healthy inactive
2013-11-11,Toronto Raptors,,Steve Novak,placed on IL with back injury,72.0,0.0,regular,2013,8.0,False,back,torso
2013-11-12,Golden State Warriors,,Toney Douglas,placed on IL with stress reaction in left tibia,60.0,0.0,regular,2013,8.0,False,tibia,lower leg
2013-11-12,Miami Heat,,Ray Allen,placed on IL with flu/illness,71.0,0.0,regular,2013,8.0,False,sick,sick
2013-11-12,Los Angeles Lakers,,Steve Nash,placed on IL with sore back,34.0,0.0,regular,2013,9.0,False,back,torso
2013-11-13,Toronto Raptors,,Julyan Stone,placed on IL,72.0,0.0,regular,2013,9.0,False,roaster move,healthy inactive
2013-11-13,Sacramento Kings,,Ray McCallum,placed on IL,67.0,0.0,regular,2013,7.0,False,roaster move,healthy inactive
2013-11-13,Portland Trailblazers,,Meyers Leonard,placed on IL with flu,,,,,,,sick,sick
2013-11-13,Nets,,Tornike Shengelia,placed on IL,,,,,,,roaster move,healthy inactive
2013-11-15,Toronto Raptors,,Aaron Gray,placed on IL,71.0,0.0,regular,2013,10.0,False,roaster move,healthy inactive
2013-11-15,San Antonio Spurs,,Nando De,placed on IL,69.0,0.0,regular,2013,10.0,False,roaster move,healthy inactive
2013-11-15,Detroit Pistons,,Chauncey Billups,placed on IL with tendinitis in knee,60.0,0.0,regular,2013,8.0,False,knee,knee
2013-11-15,Atlanta Hawks,,John Jenkins,placed on IL,72.0,0.0,regular,2013,9.0,False,roaster move,healthy inactive
2013-11-15,Charlotte Bobcats,,Al Jefferson,placed on IL with ankle injury,69.0,0.0,regular,2013,9.0,False,ankle,lower leg
