Date,Team,Relinquished,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category
2013-11-09,Dallas Mavericks,Wayne Ellington,DNP,1.0,0.0,regular,2013,7,,other,other
2013-11-10,Washington Wizards,Trevor Booker,finger injury (DNP),1.0,0.0,regular,2013,6,,finger,hand
2013-11-10,Denver Nuggets,JaVale McGee,stress fracture in left tibia (out indefinitely),1.0,0.0,regular,2013,6,,tibia,lower leg
2013-11-10,Phoenix Suns,Alex Len,sore left ankle (DNP),1.0,0.0,regular,2013,7,,ankle,lower leg
2013-11-11,Houston Rockets,Greg Smith,flu (DNP),1.0,0.0,regular,2013,8,,sick,sick
2013-11-11,Houston Rockets,Francisco Garcia,flu (DNP),1.0,0.0,regular,2013,8,,sick,sick
2013-11-11,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,8,,ankle,lower leg
2013-11-11,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,8,,knee,knee
2013-11-11,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,8,,ankle,lower leg
2013-11-11,Memphis Grizzlies,Jerryd Bayless,sprained right knee (DNP),1.0,0.0,regular,2013,7,,knee,knee
2013-11-11,Milwaukee Bucks,Larry Sanders,surgery on right thumb to repaor torn ligament (out indefinitely),1.0,0.0,regular,2013,6,,finger,hand
2013-11-11,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,8,,hamstring,upper leg
2013-11-11,Philadelphia 76ers,Daniel Orton,sore right knee (DNP),1.0,0.0,regular,2013,8,,knee,knee
2013-11-11,San Antonio Spurs,Tim Duncan,rest (DNP),1.0,0.0,regular,2013,8,,rest,rest
2013-11-11,Los Angeles Lakers,Steve Nash,nerve irritation in back (out indefinitely),1.0,0.0,regular,2013,9,,back,torso
2013-11-12,Milwaukee Bucks,Larry Sanders,recovering from surgery on right thumb to repaor torn ligament (DNP),1.0,0.0,regular,2013,6,,finger,hand
2013-11-12,Dallas Mavericks,Wayne Ellington,bruised right thigh (DNP),1.0,0.0,regular,2013,8,,quad,upper leg
2013-11-12,Milwaukee Bucks,Ersan Ilyasova,sore/aprained right ankle (DNP),1.0,0.0,regular,2013,6,,ankle,lower leg
2013-11-13,Minnesota Timberwolves,Kevin Martin,flu (DNP),1.0,0.0,regular,2013,9,,sick,sick
2013-11-13,Phoenix Suns,Alex Len,sore left ankle (DNP),1.0,0.0,regular,2013,8,,ankle,lower leg
2013-11-13,Houston Rockets,James Harden,bruised left foot (DNP),1.0,0.0,regular,2013,9,,foot,foot
2013-11-13,Houston Rockets,Greg Smith,flu (DNP),1.0,0.0,regular,2013,9,,sick,sick
2013-11-13,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,9,,knee,knee
2013-11-13,New Orleans Pelicans,Greg Stiemsma,sprained MCL in left knee (DTD),1.0,0.0,regular,2013,9,,MCL,knee
2013-11-13,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,9,,ankle,lower leg
2013-11-13,Memphis Grizzlies,Quincy Pondexter,fractured nose (DNP),1.0,0.0,regular,2013,8,,nose,head
2013-11-13,Milwaukee Bucks,Ersan Ilyasova,sore/aprained right ankle (DNP),1.0,0.0,regular,2013,7,,ankle,lower leg
2013-11-13,Milwaukee Bucks,Zaur Pachulia,sore right foot (DNP),1.0,0.0,regular,2013,7,,foot,foot
2013-11-13,Milwaukee Bucks,Larry Sanders,recovering from surgery on right thumb to repaor torn ligament (DNP),1.0,0.0,regular,2013,7,,finger,hand
2013-11-13,Milwaukee Bucks,Gary Neal,sore left foot (DNP),1.0,0.0,regular,2013,7,,foot,foot
2013-11-13,Milwaukee Bucks,Brandon Knight,sore/strained right hamstring (DNP),1.0,0.0,regular,2013,7,,hamstring,upper leg
2013-11-13,Philadelphia 76ers,Michael Carter-Williams,bruised left foot (DNP),1.0,0.0,regular,2013,9,,foot,foot
2013-11-13,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,9,,hamstring,upper leg
2013-11-13,Boston Celtics,Jared Sullinger,bruised right knee (DNP),1.0,0.0,regular,2013,9,,knee,knee
2013-11-15,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,10,,ankle,lower leg
2013-11-15,Phoenix Suns,Alex Len,sore left ankle (DNP),1.0,0.0,regular,2013,9,,ankle,lower leg
2013-11-15,Houston Rockets,Greg Smith,sprained right knee (DNP),1.0,0.0,regular,2013,11,,knee,knee
2013-11-15,Dallas Mavericks,Wayne Ellington,bruised right thigh (DNP),1.0,0.0,regular,2013,9,,quad,upper leg
2013-11-15,Miami Heat,Udonis Haslem,back spasms (DNP),1.0,0.0,regular,2013,9,,back,torso
2013-11-15,Chicago Bulls,Derrick Rose,sore hamstring (DNP),1.0,0.0,regular,2013,7,,hamstring,upper leg
2013-11-15,Milwaukee Bucks,Caron Butler,sprained left shoulder (DNP),1.0,0.0,regular,2013,8,,shoulder,torso
2013-11-15,Philadelphia 76ers,Michael Carter-Williams,bruised left foot (DNP),1.0,0.0,regular,2013,10,,foot,foot
2013-11-15,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,10,,hamstring,upper leg
2013-11-15,Milwaukee Bucks,Ersan Ilyasova,sore/aprained right ankle (DNP),1.0,0.0,regular,2013,8,,ankle,lower leg
2013-11-16,Dallas Mavericks,Wayne Ellington,bruised right thigh (DNP),1.0,0.0,regular,2013,10,,quad,upper leg
2013-11-16,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,11,,ankle,lower leg
2013-11-16,Houston Rockets,Omer Asik,illness (DNP),1.0,0.0,regular,2013,11,,sick,sick
2013-11-16,Nets,Deron Williams,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-16,Nets,Brook Lopez,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-16,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,10,,ankle,lower leg
2013-11-16,Washington Wizards,Al Harrington,sore right knee (DTD),1.0,0.0,regular,2013,9,,knee,knee
2013-11-16,Miami Heat,Udonis Haslem,back spasms (DNP),1.0,0.0,regular,2013,10,,back,torso
2013-11-16,Boston Celtics,Keith Bogans,illness (DNP),1.0,0.0,regular,2013,11,,sick,sick
2013-11-16,Boston Celtics,Courtney Lee,sore right wrist (DNP),1.0,0.0,regular,2013,11,,wrist,arm
2013-11-16,Milwaukee Bucks,Ersan Ilyasova,sore/aprained right ankle (DNP),1.0,0.0,regular,2013,9,,ankle,lower leg
2013-11-16,Milwaukee Bucks,Caron Butler,sprained left shoulder (DNP),1.0,0.0,regular,2013,9,,shoulder,torso
2013-11-16,Philadelphia 76ers,Michael Carter-Williams,bruised left foot (DNP),1.0,0.0,regular,2013,11,,foot,foot
2013-11-16,Orlando Magic,Kyle OQuinn,sprained right ankle (DNP),1.0,0.0,regular,2013,10,,ankle,lower leg
2013-11-16,Washington Wizards,Trevor Ariza,strained right hamstring (DNP),1.0,0.0,regular,2013,9,,hamstring,upper leg
2013-11-17,Sacramento Kings,Patrick Patterson,bruised left knee (DNP),1.0,0.0,regular,2013,9,,knee,knee
2013-11-18,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,12,,hamstring,upper leg
2013-11-18,Philadelphia 76ers,Michael Carter-Williams,bruised left foot (DNP),1.0,0.0,regular,2013,12,,foot,foot
2013-11-18,Dallas Mavericks,Wayne Ellington,bruised right thigh (DNP),1.0,0.0,regular,2013,11,,quad,upper leg
2013-11-18,Nets,Deron Williams,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-19,Washington Wizards,Trevor Ariza,strained right hamstring (DNP),1.0,0.0,regular,2013,10,,hamstring,upper leg
2013-11-19,Washington Wizards,Al Harrington,sore right knee (DNP),1.0,0.0,regular,2013,10,,knee,knee
