Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2019-03-02,New Orleans Pelicans,Anthony Davis,placed on IL,,,regular,2018.0,65,,roaster move,healthy inactive,,16.0,0.0,False,C,25.0,56.0,56.0,33.0,423.0,1848.0,14789.600000000002
2019-03-02,Detroit Pistons,Jon Leuer,placed on IL,,,regular,2018.0,61,,roaster move,healthy inactive,,20.0,0.0,False,PF,29.0,41.0,1.0,9.8,302.0,401.8,5029.5
2019-03-03,Detroit Pistons,Sviatoslav Mykhailiuk,placed on IL,,,regular,2018.0,62,,roaster move,healthy inactive,,15.0,0.0,False,Unknown,,,,,,,
2019-03-03,Atlanta Hawks,Omari Spellman,placed on IL with sprained left ankle (out for season),,,regular,2018.0,64,,ankle,lower leg,,47.0,0.0,False,PF,21.0,46.0,11.0,17.5,0.0,805.0,0.0
2019-03-03,Boston Celtics,Guerschon Yabusele,placed on IL,,,regular,2018.0,64,,roaster move,healthy inactive,,17.0,0.0,False,PF,23.0,41.0,1.0,6.1,45.0,250.1,282.29999999999995
2019-03-03,Cleveland Cavaliers,Ante Zizic,placed on IL with concussion,,,regular,2018.0,64,,head,head,,16.0,0.0,False,C,22.0,59.0,25.0,18.3,40.0,1079.7,237.5999999999999
2019-03-03,Portland Trailblazers,Gary Trent,placed on IL,,,,,-1,,roaster move,healthy inactive,,,,,Unknown,,,,,,,
2019-03-04,Miami Heat,Goran Dragic,placed on IL with strained left calf,,,regular,2018.0,63,,calf,lower leg,,17.0,0.0,False,PG,32.0,36.0,22.0,27.5,470.0,990.0,15710.5
2019-03-04,Los Angeles Lakers,Tyson Chandler,placed on IL with stiff neck,,,regular,2018.0,64,,neck,head,,11.0,0.0,False,C,36.0,55.0,6.0,15.9,372.0,874.5,10687.9
2019-03-04,Nets,Treveon Graham,placed on IL with sore back,,,,,-1,,back,torso,,,,,Unknown,,,,,,,
2019-03-04,New Orleans Pelicans,Jahlil Okafor,placed on IL with sprained left ankle,,,regular,2018.0,66,,ankle,lower leg,,15.0,0.0,False,C,23.0,59.0,24.0,15.8,131.0,932.2,3077.8
2019-03-05,Golden State Warriors,Klay Thompson,placed on IL with sore right knee,,,regular,2018.0,64,,knee,knee,,17.0,0.0,False,SG,28.0,78.0,78.0,34.0,573.0,2652.0,19831.999999999996
2019-03-05,Golden State Warriors,Kevon Looney,placed on IL with pelvic injury,,,regular,2018.0,64,,other,other,,17.0,0.0,False,C,22.0,80.0,24.0,18.5,145.0,1480.0,1763.4
2019-03-05,Orlando Magic,Terrence Ross,placed on IL with left Achilles injury,,,regular,2018.0,66,,achilles,lower leg,,15.0,0.0,False,SG,27.0,81.0,0.0,26.5,442.0,2146.5,10398.6
2019-03-05,Oklahoma City Thunder,Hamidou Diallo,placed on IL,,,regular,2018.0,64,,roaster move,healthy inactive,,14.0,0.0,False,SG,20.0,51.0,3.0,10.3,0.0,525.3000000000001,0.0
2019-03-06,San Antonio Spurs,Jakob Poeltl,placed on IL with left hamstring injury,,,regular,2018.0,66,,hamstring,upper leg,,15.0,0.0,False,C,23.0,77.0,24.0,16.5,151.0,1270.5,2317.8
2019-03-06,Detroit Pistons,Zaur Pachulia,placed on IL with right Achilles injury,,,regular,2018.0,63,,achilles,lower leg,,18.0,0.0,False,Unknown,,,,,,,
2019-03-06,Dallas Mavericks,Maximilian Kleber,placed on IL with left knee injury,,,regular,2018.0,64,,knee,knee,,16.0,0.0,False,Unknown,,,,,,,
2019-03-06,Boston Celtics,Kyrie Irving,placed on IL with left thigh injury,,,regular,2018.0,66,,quad,upper leg,,15.0,0.0,False,PG,26.0,67.0,67.0,33.0,442.0,2211.0,15297.6
2019-03-06,Los Angeles Lakers,Kyle Kuzma,placed on IL with sprained right ankle,,,regular,2018.0,65,,ankle,lower leg,,15.0,0.0,False,PF,23.0,70.0,68.0,33.1,77.0,2317.0,2402.3999999999996
2019-03-06,Atlanta Hawks,Dewayne Dedmon,placed on IL with bruised right knee,,,regular,2018.0,66,,knee,knee,,14.0,0.0,False,C,29.0,64.0,52.0,25.1,298.0,1606.4,4912.9
2019-03-08,New Orleans Pelicans,Jrue Holiday,placed on IL with strained lower abdominal (out for season),,,regular,2018.0,68,,abdominal,torso,,77.0,0.0,False,SG,28.0,67.0,67.0,35.9,377.0,2405.2999999999997,12722.6
