Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2014,regular,18,2014-12-05,1.0,Brooklyn Nets,
Atlanta Hawks,2014,regular,19,2014-12-07,,Denver Nuggets,
Atlanta Hawks,2014,regular,20,2014-12-08,1.0,Indiana Pacers,
Atlanta Hawks,2014,regular,21,2014-12-10,,Philadelphia 76ers,
Atlanta Hawks,2014,regular,22,2014-12-12,,Orlando Magic,
Atlanta Hawks,2014,regular,23,2014-12-13,1.0,Orlando Magic,
Atlanta Hawks,2014,regular,24,2014-12-15,,Chicago Bulls,
Atlanta Hawks,2014,regular,25,2014-12-17,1.0,Cleveland Cavaliers,
Atlanta Hawks,2014,regular,26,2014-12-20,1.0,Houston Rockets,
Atlanta Hawks,2014,regular,27,2014-12-22,1.0,Dallas Mavericks,
Atlanta Hawks,2014,regular,28,2014-12-23,,Los Angeles Clippers,
Atlanta Hawks,2014,regular,29,2014-12-26,,Milwaukee Bucks,
Atlanta Hawks,2014,regular,30,2014-12-27,1.0,Milwaukee Bucks,
Atlanta Hawks,2014,regular,31,2014-12-30,,Cleveland Cavaliers,
Atlanta Hawks,2014,regular,32,2015-01-02,1.0,Utah Jazz,
Atlanta Hawks,2014,regular,33,2015-01-03,1.0,Portland Trail Blazers,
Atlanta Hawks,2014,regular,34,2015-01-05,1.0,Los Angeles Clippers,
Atlanta Hawks,2014,regular,35,2015-01-07,,Memphis Grizzlies,
Atlanta Hawks,2014,regular,36,2015-01-09,1.0,Detroit Pistons,
Atlanta Hawks,2014,regular,37,2015-01-11,,Washington Wizards,
Atlanta Hawks,2014,regular,38,2015-01-13,1.0,Philadelphia 76ers,
Atlanta Hawks,2014,regular,39,2015-01-14,1.0,Boston Celtics,
Atlanta Hawks,2014,regular,40,2015-01-16,1.0,Toronto Raptors,
Atlanta Hawks,2014,regular,41,2015-01-17,1.0,Chicago Bulls,
Atlanta Hawks,2014,regular,42,2015-01-19,,Detroit Pistons,
Atlanta Hawks,2014,regular,43,2015-01-21,,Indiana Pacers,
Atlanta Hawks,2014,regular,44,2015-01-23,,Oklahoma City Thunder,
Atlanta Hawks,2014,regular,45,2015-01-25,,Minnesota Timberwolves,
Atlanta Hawks,2014,regular,46,2015-01-28,,Brooklyn Nets,
Atlanta Hawks,2014,regular,47,2015-01-30,,Portland Trail Blazers,
Atlanta Hawks,2014,regular,48,2015-01-31,,Philadelphia 76ers,
Atlanta Hawks,2014,regular,49,2015-02-02,1.0,New Orleans Pelicans,
Atlanta Hawks,2014,regular,50,2015-02-04,,Washington Wizards,
Atlanta Hawks,2014,regular,51,2015-02-06,,Golden State Warriors,
Atlanta Hawks,2014,regular,52,2015-02-08,1.0,Memphis Grizzlies,
Atlanta Hawks,2014,regular,53,2015-02-09,1.0,Minnesota Timberwolves,
Atlanta Hawks,2014,regular,54,2015-02-11,1.0,Boston Celtics,
Atlanta Hawks,2014,regular,55,2015-02-20,,Toronto Raptors,
Atlanta Hawks,2014,regular,56,2015-02-22,1.0,Milwaukee Bucks,
Atlanta Hawks,2014,regular,57,2015-02-25,,Dallas Mavericks,
Atlanta Hawks,2014,regular,58,2015-02-27,,Orlando Magic,
Atlanta Hawks,2014,regular,59,2015-02-28,1.0,Miami Heat,
Atlanta Hawks,2014,regular,60,2015-03-03,,Houston Rockets,
Atlanta Hawks,2014,regular,61,2015-03-06,,Cleveland Cavaliers,
Atlanta Hawks,2014,regular,62,2015-03-07,1.0,Philadelphia 76ers,
Atlanta Hawks,2014,regular,63,2015-03-09,,Sacramento Kings,
Atlanta Hawks,2014,regular,64,2015-03-11,1.0,Denver Nuggets,
Atlanta Hawks,2014,regular,65,2015-03-13,1.0,Phoenix Suns,
Atlanta Hawks,2014,regular,66,2015-03-15,1.0,Los Angeles Lakers,
Atlanta Hawks,2014,regular,67,2015-03-16,1.0,Sacramento Kings,
Atlanta Hawks,2014,regular,68,2015-03-18,1.0,Golden State Warriors,
Atlanta Hawks,2014,regular,69,2015-03-20,1.0,Oklahoma City Thunder,
Atlanta Hawks,2014,regular,70,2015-03-22,,San Antonio Spurs,
Atlanta Hawks,2014,regular,71,2015-03-25,1.0,Orlando Magic,
Atlanta Hawks,2014,regular,72,2015-03-27,,Miami Heat,
Atlanta Hawks,2014,regular,73,2015-03-28,1.0,Charlotte Hornets,
Atlanta Hawks,2014,regular,74,2015-03-30,,Milwaukee Bucks,
