,Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
211,Atlanta Hawks,2014,35,"Wed, Jan 7, 2015",,Memphis Grizzlies,
212,Atlanta Hawks,2014,36,"Fri, Jan 9, 2015",@,Detroit Pistons,
213,Atlanta Hawks,2014,37,"Sun, Jan 11, 2015",,Washington Wizards,
214,Atlanta Hawks,2014,38,"Tue, Jan 13, 2015",@,Philadelphia 76ers,
215,Atlanta Hawks,2014,39,"Wed, Jan 14, 2015",@,Boston Celtics,
216,Atlanta Hawks,2014,40,"Fri, Jan 16, 2015",@,Toronto Raptors,
217,Atlanta Hawks,2014,41,"Sat, Jan 17, 2015",@,Chicago Bulls,
218,Atlanta Hawks,2014,42,"Mon, Jan 19, 2015",,Detroit Pistons,
219,Atlanta Hawks,2014,43,"Wed, Jan 21, 2015",,Indiana Pacers,
220,Atlanta Hawks,2014,44,"Fri, Jan 23, 2015",,Oklahoma City Thunder,
221,Atlanta Hawks,2014,45,"Sun, Jan 25, 2015",,Minnesota Timberwolves,
222,Atlanta Hawks,2014,46,"Wed, Jan 28, 2015",,Brooklyn Nets,
223,Atlanta Hawks,2014,47,"Fri, Jan 30, 2015",,Portland Trail Blazers,
224,Atlanta Hawks,2014,48,"Sat, Jan 31, 2015",,Philadelphia 76ers,
225,Atlanta Hawks,2014,49,"Mon, Feb 2, 2015",@,New Orleans Pelicans,
226,Atlanta Hawks,2014,50,"Wed, Feb 4, 2015",,Washington Wizards,
227,Atlanta Hawks,2014,51,"Fri, Feb 6, 2015",,Golden State Warriors,
228,Atlanta Hawks,2014,52,"Sun, Feb 8, 2015",@,Memphis Grizzlies,
229,Atlanta Hawks,2014,53,"Mon, Feb 9, 2015",@,Minnesota Timberwolves,
230,Atlanta Hawks,2014,54,"Wed, Feb 11, 2015",@,Boston Celtics,
231,Atlanta Hawks,2014,55,"Fri, Feb 20, 2015",,Toronto Raptors,
232,Atlanta Hawks,2014,56,"Sun, Feb 22, 2015",@,Milwaukee Bucks,
233,Atlanta Hawks,2014,57,"Wed, Feb 25, 2015",,Dallas Mavericks,
234,Atlanta Hawks,2014,58,"Fri, Feb 27, 2015",,Orlando Magic,
235,Atlanta Hawks,2014,59,"Sat, Feb 28, 2015",@,Miami Heat,
236,Atlanta Hawks,2014,60,"Tue, Mar 3, 2015",,Houston Rockets,
237,Atlanta Hawks,2014,61,"Fri, Mar 6, 2015",,Cleveland Cavaliers,
238,Atlanta Hawks,2014,62,"Sat, Mar 7, 2015",@,Philadelphia 76ers,
239,Atlanta Hawks,2014,63,"Mon, Mar 9, 2015",,Sacramento Kings,
240,Atlanta Hawks,2014,64,"Wed, Mar 11, 2015",@,Denver Nuggets,
241,Atlanta Hawks,2014,65,"Fri, Mar 13, 2015",@,Phoenix Suns,
242,Atlanta Hawks,2014,66,"Sun, Mar 15, 2015",@,Los Angeles Lakers,
243,Atlanta Hawks,2014,67,"Mon, Mar 16, 2015",@,Sacramento Kings,
244,Atlanta Hawks,2014,68,"Wed, Mar 18, 2015",@,Golden State Warriors,
245,Atlanta Hawks,2014,69,"Fri, Mar 20, 2015",@,Oklahoma City Thunder,
246,Atlanta Hawks,2014,70,"Sun, Mar 22, 2015",,San Antonio Spurs,
247,Atlanta Hawks,2014,71,"Wed, Mar 25, 2015",@,Orlando Magic,
248,Atlanta Hawks,2014,72,"Fri, Mar 27, 2015",,Miami Heat,
249,Atlanta Hawks,2014,73,"Sat, Mar 28, 2015",@,Charlotte Hornets,
250,Atlanta Hawks,2014,74,"Mon, Mar 30, 2015",,Milwaukee Bucks,
251,Atlanta Hawks,2014,75,"Tue, Mar 31, 2015",@,Detroit Pistons,
252,Atlanta Hawks,2014,76,"Sat, Apr 4, 2015",,Brooklyn Nets,
253,Atlanta Hawks,2014,77,"Tue, Apr 7, 2015",,Phoenix Suns,
254,Atlanta Hawks,2014,78,"Wed, Apr 8, 2015",@,Brooklyn Nets,
255,Atlanta Hawks,2014,79,"Fri, Apr 10, 2015",,Charlotte Hornets,
256,Atlanta Hawks,2014,80,"Sun, Apr 12, 2015",@,Washington Wizards,
257,Atlanta Hawks,2014,81,"Mon, Apr 13, 2015",,New York Knicks,
258,Atlanta Hawks,2014,82,"Wed, Apr 15, 2015",@,Chicago Bulls,
259,Atlanta Hawks,2014,83,"Sun, Apr 19, 2015",,Brooklyn Nets,
260,Atlanta Hawks,2014,84,"Wed, Apr 22, 2015",,Brooklyn Nets,
261,Atlanta Hawks,2014,85,"Sat, Apr 25, 2015",@,Brooklyn Nets,
262,Atlanta Hawks,2014,86,"Mon, Apr 27, 2015",@,Brooklyn Nets,OT
263,Atlanta Hawks,2014,87,"Wed, Apr 29, 2015",,Brooklyn Nets,
264,Atlanta Hawks,2014,88,"Fri, May 1, 2015",@,Brooklyn Nets,
265,Atlanta Hawks,2014,89,"Sun, May 3, 2015",,Washington Wizards,
266,Atlanta Hawks,2014,90,"Tue, May 5, 2015",,Washington Wizards,
267,Atlanta Hawks,2014,91,"Sat, May 9, 2015",@,Washington Wizards,
268,Atlanta Hawks,2014,92,"Mon, May 11, 2015",@,Washington Wizards,
269,Atlanta Hawks,2014,93,"Wed, May 13, 2015",,Washington Wizards,
270,Atlanta Hawks,2014,94,"Fri, May 15, 2015",@,Washington Wizards,
271,Atlanta Hawks,2014,95,"Wed, May 20, 2015",,Cleveland Cavaliers,
272,Atlanta Hawks,2014,96,"Fri, May 22, 2015",,Cleveland Cavaliers,
273,Atlanta Hawks,2014,97,"Sun, May 24, 2015",@,Cleveland Cavaliers,OT
274,Atlanta Hawks,2014,98,"Tue, May 26, 2015",@,Cleveland Cavaliers,
275,Atlanta Hawks,2015,1,"Tue, Oct 27, 2015",,Detroit Pistons,
276,Atlanta Hawks,2015,2,"Thu, Oct 29, 2015",@,New York Knicks,
277,Atlanta Hawks,2015,3,"Fri, Oct 30, 2015",,Charlotte Hornets,
278,Atlanta Hawks,2015,4,"Sun, Nov 1, 2015",@,Charlotte Hornets,
279,Atlanta Hawks,2015,5,"Tue, Nov 3, 2015",@,Miami Heat,
280,Atlanta Hawks,2015,6,"Wed, Nov 4, 2015",,Brooklyn Nets,
281,Atlanta Hawks,2015,7,"Fri, Nov 6, 2015",@,New Orleans Pelicans,
282,Atlanta Hawks,2015,8,"Sat, Nov 7, 2015",,Washington Wizards,
283,Atlanta Hawks,2015,9,"Mon, Nov 9, 2015",,Minnesota Timberwolves,
284,Atlanta Hawks,2015,10,"Wed, Nov 11, 2015",,New Orleans Pelicans,
285,Atlanta Hawks,2015,11,"Fri, Nov 13, 2015",@,Boston Celtics,
286,Atlanta Hawks,2015,12,"Sun, Nov 15, 2015",,Utah Jazz,
287,Atlanta Hawks,2015,13,"Tue, Nov 17, 2015",@,Brooklyn Nets,
288,Atlanta Hawks,2015,14,"Wed, Nov 18, 2015",,Sacramento Kings,
289,Atlanta Hawks,2015,15,"Sat, Nov 21, 2015",@,Cleveland Cavaliers,
290,Atlanta Hawks,2015,16,"Tue, Nov 24, 2015",,Boston Celtics,
291,Atlanta Hawks,2015,17,"Wed, Nov 25, 2015",@,Minnesota Timberwolves,
292,Atlanta Hawks,2015,18,"Fri, Nov 27, 2015",@,Memphis Grizzlies,
293,Atlanta Hawks,2015,19,"Sat, Nov 28, 2015",@,San Antonio Spurs,
