Date,Team,Acquired,Relinquished,Notes
2020-01-20,Phoenix Suns,Kelly Oubre,,activated from IL
2020-01-20,Phoenix Suns,,Jalen Lecque,placed on IL
2020-01-20,Nets,,Wilson Chandler,placed on IL with left hamstring injury
2020-01-20,Los Angeles Lakers,Rajon Rondo,,activated from IL
2020-01-20,Los Angeles Lakers,Anthony Davis,,activated from IL
2020-01-20,Boston Celtics,Kemba Walker,,activated from IL
2020-01-20,Boston Celtics,Jaylen Brown,,activated from IL
2020-01-20,Nets,,Kyrie Irving,placed on IL with right hamstring injury
2020-01-21,Los Angeles Clippers,Maurice Harkless,,activated from IL
2020-01-21,Dallas Mavericks,Kristaps Porzingis,,activated from IL
2020-01-22,New Orleans Pelicans,Zion Williamson,,activated from IL
2020-01-22,Golden State Warriors,Jacob Evans,,activated from IL
2020-01-22,Oklahoma City Thunder,,Steven Adams,placed on IL with sprained left ankle
2020-01-22,San Antonio Spurs,Rudy Gay,,activated from IL
2020-01-22,Detroit Pistons,,Tim Frazier,placed on IL with illness
2020-01-22,Detroit Pistons,,Bruce Brown,placed on IL with illness
2020-01-22,Detroit Pistons,,Blake Griffin,placed on IL with left knee injury (out for season)
2020-01-22,Denver Nuggets,,Mason Plumlee,placed on IL with right foot injury
2020-01-22,Houston Rockets,Austin Rivers,,activated from IL
2020-01-22,New York Knicks,Dennis Smith,,activated from IL
2020-01-22,Sacramento Kings,,Marvin Bagley,placed on IL with sprained left foot (out for season)
2020-01-22,Atlanta Hawks,Alex Len,,activated from IL
2020-01-22,Atlanta Hawks,,Trae Young,placed on IL with bruised right thigh
2020-01-22,Dallas Mavericks,,Dwight Powell,placed on IL with torn right Achilles tendon (out for season)
2020-01-22,Los Angeles Clippers,,Patrick Beverley,placed on IL with right groin injury
2020-01-22,Los Angeles Clippers,,Kawhi Leonard,placed on IL
2020-01-22,Boston Celtics,,Jaylen Brown,placed on IL with sprained right ankle
2020-01-23,Washington Wizards,Anzejs Pasecniks,,activated from IL
2020-01-23,San Antonio Spurs,DeMarre Carroll,,activated from IL
2020-01-23,Nets,Wilson Chandler,,activated from IL
2020-01-23,Nets,,Nicolas Claxton,placed on IL with left shoulder injury
2020-01-23,Los Angeles Lakers,,JaVale McGee,placed on IL with flu
2020-01-23,Cleveland Cavaliers,John Henson,,activated from IL
2020-01-23,Nets,Kyrie Irving,,activated from IL
2020-01-24,Indiana Pacers,,TJ Leaf,placed on IL with sore right knee
2020-01-24,Atlanta Hawks,,DeAndre Bembry,placed on IL with right hand injury
2020-01-24,Toronto Raptors,Malcolm Miller,,activated from IL
2020-01-24,Toronto Raptors,,Patrick McCaw,placed on IL with fractured nose
2020-01-24,Detroit Pistons,Tim Frazier,,activated from IL
2020-01-24,Detroit Pistons,,Tony Snell,placed on IL with illness
2020-01-24,Indiana Pacers,,Malcolm Brogdon,placed on IL with concussion
2020-01-24,Chicago Bulls,,Lauri Markkanen,placed on IL with stress reaction in pelvis
2020-01-24,Indiana Pacers,,Goga Bitadze,placed on IL with illness
2020-01-24,Denver Nuggets,Gary Harris,,activated from IL
2020-01-24,Atlanta Hawks,Trae Young,,activated from IL
2020-01-24,Los Angeles Clippers,Kawhi Leonard,,activated from IL
2020-01-24,Boston Celtics,,Enes Kanter,placed on IL with bruised right hip
2020-01-24,Milwaukee Bucks,,Sterling Brown,placed on IL with illness
2020-01-24,Indiana Pacers,,JaKarr Sampson,placed on IL with sprained left ankle
2020-01-25,Oklahoma City Thunder,,Danilo Gallinari,placed on IL with left thumb injury
2020-01-25,Oklahoma City Thunder,Steven Adams,,activated from IL
2020-01-25,Detroit Pistons,Bruce Brown,,activated from IL
2020-01-25,Oklahoma City Thunder,,Nerlens Noel,placed on IL with surgery to repair fractured left cheekbone
2020-01-25,Utah Jazz,Nigel Williams-Goss,,activated from IL
2020-01-25,Philadelphia 76ers,,Josh Richardson,placed on IL with strained left hamstring
2020-01-25,Nets,Nicolas Claxton,,activated from IL
2020-01-25,Utah Jazz,,Emmanuel Mudiay,placed on IL with sore right ankle
2020-01-26,Houston Rockets,,James Harden,placed on IL with bruised left thigh
2020-01-26,Phoenix Suns,,Aron Baynes,placed on IL with sore left hip
2020-01-26,Indiana Pacers,TJ Leaf,,activated from IL
2020-01-26,Indiana Pacers,Goga Bitadze,,activated from IL
2020-01-26,Indiana Pacers,JaKarr Sampson,,activated from IL
2020-01-26,Atlanta Hawks,,Alex Len,placed on IL with right hip flexor injury
2020-01-26,Memphis Grizzlies,,Jae Crowder,placed on IL with sore right knee
2020-01-26,Boston Celtics,Jaylen Brown,,activated from IL
2020-01-26,Indiana Pacers,,Myles Turner,placed on IL with illness
2020-01-27,Houston Rockets,,Clint Capela,placed on IL with right heel injury
2020-01-27,Oklahoma City Thunder,Nerlens Noel,,activated from IL
2020-01-27,Oklahoma City Thunder,Isaiah Roby,,activated from IL
2020-01-27,Oklahoma City Thunder,Danilo Gallinari,,activated from IL
2020-01-27,San Antonio Spurs,,LaMarcus Aldridge,placed on IL with sprained right thumb
2020-01-27,Houston Rockets,,Russell Westbrook,placed on IL
2020-01-27,Minnesota Timberwolves,,Allen Crabbe,placed on IL with left knee injury
2020-01-27,Utah Jazz,Emmanuel Mudiay,,activated from IL
2020-01-27,Utah Jazz,,Nigel Williams-Goss,placed on IL
2020-01-27,Miami Heat,Gabe Vincent,,activated from IL
2020-01-27,Miami Heat,,Kendrick Nunn,placed on IL with left Achilles injury
2020-01-27,Cleveland Cavaliers,Kevin Porter,,activated from IL
2020-01-27,Milwaukee Bucks,Sterling Brown,,activated from IL
2020-01-27,Milwaukee Bucks,Robin Lopez,,activated from IL
2020-01-27,Dallas Mavericks,Ryan Broekhoff,,activated from IL
2020-01-28,Toronto Raptors,,Rondae Hollis-Jefferson,placed on IL with sprained right ankle
2020-01-28,Nets,DeAndre Jordan,,activated from IL
2020-01-28,Atlanta Hawks,,Bruno Fernando,placed on IL with strained left calf
2020-01-28,Milwaukee Bucks,,Giannis Antetokounmpo,placed on IL with sore right shoulder
2020-01-28,Boston Celtics,,Javonte Green,placed on IL with sore left knee
2020-01-28,Philadelphia 76ers,Joel Embiid,,activated from IL
2020-01-28,Memphis Grizzlies,,Grayson Allen,placed on IL with left hip injury
2020-01-29,Houston Rockets,Clint Capela,,activated from IL
2020-01-29,Oklahoma City Thunder,Abdel Nader,,activated from IL
2020-01-29,Houston Rockets,James Harden,,activated from IL
2020-01-29,Detroit Pistons,Tony Snell,,activated from IL
2020-01-29,Houston Rockets,Russell Westbrook,,activated from IL
2020-01-29,Indiana Pacers,Malcolm Brogdon,,activated from IL
2020-01-29,Memphis Grizzlies,Jae Crowder,,activated from IL
2020-01-29,Memphis Grizzlies,,DeAnthony Melton,placed on IL with sore left hand
2020-01-29,Boston Celtics,Javonte Green,,activated from IL
2020-01-29,Indiana Pacers,Victor Oladipo,,activated from IL
2020-01-30,Toronto Raptors,Patrick McCaw,,activated from IL
2020-01-30,Toronto Raptors,,Marc Gasol,placed on IL with left hamstring injury
2020-01-30,Toronto Raptors,,Malcolm Miller,placed on IL with strained neck
2020-01-30,Utah Jazz,Nigel Williams-Goss,,activated from IL
2020-01-30,Utah Jazz,,Tony Bradley,placed on IL with sprained right knee
2020-01-30,Washington Wizards,,Jordan McRae,placed on IL
2020-01-30,Los Angeles Clippers,Paul George,,activated from IL
2020-01-30,Los Angeles Clippers,Patrick Beverley,,activated from IL
2020-01-30,Los Angeles Clippers,,Terance Mann,placed on IL
2020-01-30,Philadelphia 76ers,,Al Horford,placed on IL with sore left knee
2020-01-30,Utah Jazz,,Mike Conley,placed on IL
2020-01-31,Phoenix Suns,Aron Baynes,,activated from IL
2020-01-31,Houston Rockets,,Clint Capela,placed on IL with right heel injury
2020-01-31,Indiana Pacers,Myles Turner,,activated from IL
2020-01-31,Dallas Mavericks,,Luka Doncic,placed on IL with sprained right ankle
2020-01-31,Los Angeles Lakers,JaVale McGee,,activated from IL
2020-01-31,Memphis Grizzlies,,Brandon Clarke,placed on IL with sore left hip
2020-01-31,Milwaukee Bucks,Giannis Antetokounmpo,,activated from IL
2020-01-31,Milwaukee Bucks,,George Hill,placed on IL with strained left hamstring
2020-01-31,Milwaukee Bucks,,Donte DiVincenzo,placed on IL with sprained left ankle
2020-01-31,Memphis Grizzlies,DeAnthony Melton,,activated from IL
2020-02-01,Utah Jazz,Mike Conley,,activated from IL
2020-02-01,Washington Wizards,Garrison Mathews,,activated from IL
2020-02-01,Golden State Warriors,Kevon Looney,,activated from IL
2020-02-01,San Antonio Spurs,LaMarcus Aldridge,,activated from IL
2020-02-01,New York Knicks,,Frank Ntilikina,placed on IL with groin injury
2020-02-01,Utah Jazz,,Nigel Williams-Goss,placed on IL
2020-02-01,Sacramento Kings,,Dewayne Dedmon,placed on IL with flu
2020-02-01,Miami Heat,,Gabe Vincent,placed on IL
2020-02-01,Los Angeles Clippers,Terance Mann,,activated from IL
2020-02-01,Miami Heat,Kendrick Nunn,,activated from IL
2020-02-01,Los Angeles Clippers,,Derrick Walton,placed on IL with right elbow injury
2020-02-01,Boston Celtics,,Kemba Walker,placed on IL with sore left knee
2020-02-01,Milwaukee Bucks,Donte DiVincenzo,,activated from IL
2020-02-01,Philadelphia 76ers,Al Horford,,activated from IL
2020-02-02,Washington Wizards,Rui Hachimura,,activated from IL
2020-02-02,Washington Wizards,Moritz Wagner,,activated from IL
2020-02-02,Phoenix Suns,Jared Harper,,activated from IL
2020-02-02,Phoenix Suns,Jalen Lecque,,activated from IL
2020-02-02,Phoenix Suns,,Ty Jerome,placed on IL with left calf injury
2020-02-02,Phoenix Suns,,Dario Saric,placed on IL with sprained left ankle
2020-02-02,Toronto Raptors,,Norman Powell,placed on IL with fractured left hand
2020-02-02,Denver Nuggets,,Michael Porter,placed on IL with right ankle injury
2020-02-02,Memphis Grizzlies,Brandon Clarke,,activated from IL
2020-02-02,Chicago Bulls,Daniel Gafford,,activated from IL
2020-02-02,Chicago Bulls,,Kris Dunn,placed on IL with sprained MCL in right knee (out for season)
2020-02-02,Phoenix Suns,,Cameron Johnson,placed on IL with bruised right quadriceps
2020-02-03,New York Knicks,Frank Ntilikina,,activated from IL
2020-02-03,Phoenix Suns,,Tyler Johnson,placed on IL with sore right knee
2020-02-03,Detroit Pistons,,Derrick Rose,placed on IL with left hip injury
2020-02-03,Indiana Pacers,,TJ Warren,placed on IL with concussion
2020-02-03,Nets,,Kyrie Irving,placed on IL with sprained right knee (out for season)
2020-02-03,Dallas Mavericks,,Seth Curry,placed on IL with left knee injury
2020-02-03,Orlando Magic,,Khem Birch,placed on IL with tightness in lower back
2020-02-03,Sacramento Kings,Dewayne Dedmon,,activated from IL
2020-02-03,Cleveland Cavaliers,,Tristan Thompson,placed on IL with right quadricep injury
2020-02-03,Atlanta Hawks,Evan Turner,,activated from IL
2020-02-03,Atlanta Hawks,,DeAndre Hunter,placed on IL with sprained left ankle
2020-02-03,Atlanta Hawks,,Cam Reddish,placed on IL with concussion
2020-02-03,Los Angeles Clippers,Derrick Walton,,activated from IL
2020-02-03,Los Angeles Clippers,,Terance Mann,placed on IL
2020-02-03,Boston Celtics,Enes Kanter,,activated from IL
2020-02-03,Boston Celtics,,Marcus Smart,placed on IL with bruised right thigh
2020-02-03,Charlotte Hornets,,PJ Washington,placed on IL with sprained right ankle
2020-02-04,Toronto Raptors,Malcolm Miller,,activated from IL
2020-02-04,Houston Rockets,,Russell Westbrook,placed on IL with sprained left thumb
2020-02-04,Utah Jazz,Tony Bradley,,activated from IL
2020-02-04,Denver Nuggets,Jamal Murray,,activated from IL
2020-02-04,Charlotte Hornets,PJ Washington,,activated from IL
2020-02-04,Cleveland Cavaliers,Brandon Knight,,activated from IL
2020-02-04,Portland Trailblazers,Jusuf Nurkic,,activated from IL
2020-02-05,Minnesota Timberwolves,,Keita Bates-Diop,placed on IL
2020-02-05,Atlanta Hawks,Chandler Parsons,,activated from IL
2020-02-05,Minnesota Timberwolves,Allen Crabbe,,activated from IL
2020-02-05,Oklahoma City Thunder,Terrance Ferguson,,activated from IL
2020-02-05,Oklahoma City Thunder,,Isaiah Roby,placed on IL
2020-02-05,Toronto Raptors,Rondae Hollis-Jefferson,,activated from IL
2020-02-05,Detroit Pistons,,Markieff Morris,placed on IL with illness
2020-02-05,Nets,,Nicolas Claxton,placed on IL with sore left shoulder
2020-02-05,Atlanta Hawks,,Evan Turner,placed on IL
2020-02-05,Orlando Magic,Khem Birch,,activated from IL
2020-02-05,Miami Heat,Gabe Vincent,,activated from IL
2020-02-05,Miami Heat,,Tyler Herro,placed on IL with sore right ankle
2020-02-05,Miami Heat,,Meyers Leonard,placed on IL with sprained left ankle
2020-02-05,Atlanta Hawks,DeAndre Hunter,,activated from IL
2020-02-05,Atlanta Hawks,Bruno Fernando,,activated from IL
2020-02-05,Memphis Grizzlies,,Marko Guduric,placed on IL with illness
2020-02-05,Boston Celtics,,Daniel Theis,placed on IL with sprained right ankle
2020-02-05,Dallas Mavericks,,Jose Juan,placed on IL with sprained left ankle
2020-02-06,Atlanta Hawks,Nene Nene,,activated from IL
2020-02-06,Memphis Grizzlies,Andre Iguodala,,activated from IL
2020-02-06,Houston Rockets,Russell Westbrook,,activated from IL
2020-02-06,New York Knicks,RJ Barrett,,activated from IL
2020-02-06,New York Knicks,,Damyean Dotson,placed on IL with illness
2020-02-06,Memphis Grizzlies,Marko Guduric,,activated from IL
2020-02-06,Chicago Bulls,,Daniel Gafford,placed on IL with sprained right ankle
2020-02-06,New York Knicks,,Allonzo Trier,placed on IL with illness
2020-02-07,Detroit Pistons,,Brandon Knight,placed on IL with sore left knee
2020-02-07,Washington Wizards,,Thomas Bryant,placed on IL with sore right foot
2020-02-07,Phoenix Suns,Ty Jerome,,activated from IL
2020-02-07,Phoenix Suns,Cameron Johnson,,activated from IL
2020-02-07,Phoenix Suns,,Jared Harper,placed on IL
2020-02-07,Phoenix Suns,,Jalen Lecque,placed on IL
2020-02-07,Houston Rockets,,Russell Westbrook,placed on IL
2020-02-07,Dallas Mavericks,Jose Juan,,activated from IL
2020-02-07,Memphis Grizzlies,,Dion Waiters,placed on IL
2020-02-07,Utah Jazz,,Ed Davis,placed on IL with back spasms
2020-02-07,Boston Celtics,Marcus Smart,,activated from IL
2020-02-07,Boston Celtics,Kemba Walker,,activated from IL
2020-02-07,Boston Celtics,,Jaylen Brown,placed on IL with sprained right ankle
2020-02-07,Boston Celtics,,Gordon Hayward,placed on IL with sore left foot
2020-02-07,Philadelphia 76ers,Josh Richardson,,activated from IL
2020-02-07,Dallas Mavericks,Seth Curry,,activated from IL
2020-02-08,Golden State Warriors,Alen Smailagic,,activated from IL
2020-02-08,Minnesota Timberwolves,,DAngelo Russell,placed on IL with bruised right quadriceps
2020-02-08,Toronto Raptors,,Kyle Lowry,placed on IL with neck injury
2020-02-08,Indiana Pacers,TJ Warren,,activated from IL
2020-02-08,Denver Nuggets,Paul Millsap,,activated from IL
2020-02-08,Denver Nuggets,Jordan McRae,,activated from IL
2020-02-08,Denver Nuggets,Keita Bates-Diop,,activated from IL
2020-02-08,New York Knicks,Damyean Dotson,,activated from IL
2020-02-08,Charlotte Hornets,,Nicolas Batum,placed on IL with illness
2020-02-08,Charlotte Hornets,,Cody Martin,placed on IL with concussion
2020-02-08,Los Angeles Clippers,Terance Mann,,activated from IL
2020-02-08,Los Angeles Clippers,,Patrick Beverley,placed on IL with right groin injury
2020-02-08,Cleveland Cavaliers,Tristan Thompson,,activated from IL
2020-02-08,Nets,Nicolas Claxton,,activated from IL
2020-02-09,Houston Rockets,Russell Westbrook,,activated from IL
2020-02-09,Houston Rockets,,Eric Gordon,placed on IL with bruised left leg
2020-02-09,New York Knicks,,Maurice Harkless,placed on IL with illness
2020-02-09,Miami Heat,,Jimmy Butler,placed on IL with strained right shoulder
2020-02-09,Chicago Bulls,,Denzel Valentine,placed on IL with left hamstring injury
2020-02-09,Boston Celtics,Gordon Hayward,,activated from IL
2020-02-09,Boston Celtics,Daniel Theis,,activated from IL
2020-02-09,Philadelphia 76ers,,Zhaire Smith,placed on IL with left knee injury (out for season)
2020-02-09,Boston Celtics,Jaylen Brown,,activated from IL
2020-02-10,Toronto Raptors,Kyle Lowry,,activated from IL
2020-02-10,Phoenix Suns,,Aron Baynes,placed on IL with sore left hip
2020-02-10,Toronto Raptors,,Serge Ibaka,placed on IL with illness
2020-02-10,Minnesota Timberwolves,DAngelo Russell,,activated from IL
2020-02-10,Phoenix Suns,Jalen Lecque,,activated from IL
2020-02-10,Detroit Pistons,Markieff Morris,,activated from IL
2020-02-10,Atlanta Hawks,Cam Reddish,,activated from IL
2020-02-10,Indiana Pacers,,Edmond Sumner,placed on IL
2020-02-10,Utah Jazz,,Mike Conley,placed on IL
2020-02-10,Miami Heat,Jimmy Butler,,activated from IL
2020-02-10,Miami Heat,,KZ Okpala,placed on IL
2020-02-10,Detroit Pistons,Brandon Knight,,activated from IL
2020-02-11,Portland Trailblazers,,Jusuf Nurkic,placed on IL
2020-02-11,Portland Trailblazers,,Mario Hezonja,placed on IL with sprained left ankle
2020-02-11,San Antonio Spurs,,DeMar DeRozan,placed on IL with back spasms
2020-02-11,Oklahoma City Thunder,,Darius Bazley,placed on IL with right knee injury
2020-02-11,Phoenix Suns,Tyler Johnson,,activated from IL
2020-02-12,Minnesota Timberwolves,,Karl-Anthony Towns,placed on IL with fractured left wrist (out for season)
2020-02-12,Toronto Raptors,Serge Ibaka,,activated from IL
2020-02-12,Detroit Pistons,Derrick Rose,,activated from IL
2020-02-12,Dallas Mavericks,Luka Doncic,,activated from IL
2020-02-12,Orlando Magic,,Mohamed Bamba,placed on IL with illness
2020-02-12,Charlotte Hornets,,Terry Rozier,placed on IL with sore left knee
2020-02-12,Charlotte Hornets,Nicolas Batum,,activated from IL
2020-02-12,Atlanta Hawks,DeAndre Bembry,,activated from IL
2020-02-12,Cleveland Cavaliers,,Kevin Love,placed on IL with sore right Achilles
2020-02-12,Milwaukee Bucks,,Kyle Korver,placed on IL with sore back
2020-02-12,New York Knicks,Allonzo Trier,,activated from IL
2020-02-13,Boston Celtics,,Jaylen Brown,placed on IL with left calf injury
2020-02-20,Utah Jazz,Ed Davis,,activated from IL
2020-02-20,Houston Rockets,Bruno Caboclo,,activated from IL
2020-02-20,Denver Nuggets,Michael Porter,,activated from IL
2020-02-20,Denver Nuggets,Mason Plumlee,,activated from IL
2020-02-20,Orlando Magic,Mohamed Bamba,,activated from IL
2020-02-20,Charlotte Hornets,Terry Rozier,,activated from IL
2020-02-20,Sacramento Kings,Jabari Parker,,activated from IL
2020-02-20,Miami Heat,,Gabe Vincent,placed on IL
2020-02-20,Boston Celtics,Jaylen Brown,,activated from IL
2020-02-20,Cleveland Cavaliers,Kevin Love,,activated from IL
2020-02-20,Chicago Bulls,Daniel Gafford,,activated from IL
2020-02-20,Milwaukee Bucks,George Hill,,activated from IL
2020-02-20,Philadelphia 76ers,,Ben Simmons,placed on IL with tightness in lower back
2020-02-20,Charlotte Hornets,Cody Martin,,activated from IL
2020-02-21,Washington Wizards,Thomas Bryant,,activated from IL
2020-02-21,Minnesota Timberwolves,,Jaylen Nowell,placed on IL with illness
2020-02-21,Oklahoma City Thunder,Isaiah Roby,,activated from IL
2020-02-21,Oklahoma City Thunder,,Deonte Burton,placed on IL with illness
2020-02-21,Phoenix Suns,Jared Harper,,activated from IL
2020-02-21,Phoenix Suns,Dario Saric,,activated from IL
2020-02-21,Phoenix Suns,Aron Baynes,,activated from IL
2020-02-21,San Antonio Spurs,DeMar DeRozan,,activated from IL
2020-02-21,Phoenix Suns,,Jalen Lecque,placed on IL
2020-02-21,Denver Nuggets,,Vlatko Cancar,placed on IL
2020-02-21,Denver Nuggets,,Keita Bates-Diop,placed on IL
2020-02-21,Orlando Magic,DJ Augustine,,activated from IL
2020-02-21,New York Knicks,,Elfrid Payton,placed on IL with sore right ankle
2020-02-21,Utah Jazz,Mike Conley,,activated from IL
2020-02-21,Boston Celtics,,Kemba Walker,placed on IL with sore left knee
2020-02-21,Cleveland Cavaliers,Ante Zizic,,activated from IL
2020-02-21,Cleveland Cavaliers,,Alfonzo McKinnie,placed on IL with left foot injury
2020-02-21,Toronto Raptors,,Patrick McCaw,placed on IL with flu
2020-02-22,Houston Rockets,Eric Gordon,,activated from IL
2020-02-22,Houston Rockets,,Michael Frazier,placed on IL
2020-02-22,Dallas Mavericks,,Luka Doncic,placed on IL with sore right ankle
2020-02-22,Sacramento Kings,Alex Len,,activated from IL
2020-02-22,Philadelphia 76ers,Ben Simmons,,activated from IL
2020-02-22,Atlanta Hawks,,DeAndre Hunter,placed on IL for personal reasons
2020-02-22,Los Angeles Clippers,,Paul George,placed on IL with strained left hamstring
2020-02-22,Atlanta Hawks,,DeAndre Bembry,placed on IL with abdominal injury
2020-02-23,Minnesota Timberwolves,Jaylen Nowell,,activated from IL
2020-02-23,Oklahoma City Thunder,Deonte Burton,,activated from IL
2020-02-23,Los Angeles Lakers,DeMarcus Cousins,,activated from IL
2020-02-23,Chicago Bulls,,Luke Kornet,placed on IL with sprained left ankle (out for season)
2020-02-23,Portland Trailblazers,Mario Hezonja,,activated from IL
2020-02-23,Indiana Pacers,,Victor Oladipo,placed on IL with sore lower back
2020-02-24,Minnesota Timberwolves,Jake Layman,,activated from IL
2020-02-24,Dallas Mavericks,Luka Doncic,,activated from IL
2020-02-24,Dallas Mavericks,,Jalen Brunson,placed on IL with torn labrum in right shoulder (out for season)
2020-02-24,New York Knicks,,Frank Ntilikina,placed on IL with groin injury
2020-02-24,Miami Heat,Gabe Vincent,,activated from IL
2020-02-24,Memphis Grizzlies,,Jaren Jackson,placed on IL with sprained left knee
2020-02-24,Washington Wizards,,Davis Bertans,placed on IL with sore right knee
2020-02-24,Los Angeles Clippers,Patrick Beverley,,activated from IL
2020-02-24,Los Angeles Clippers,,Terance Mann,placed on IL
2020-02-24,Milwaukee Bucks,,Brook Lopez,placed on IL with sore back
2020-02-24,Philadelphia 76ers,,Norvel Pelle,placed on IL with illness
2020-02-24,Philadelphia 76ers,,Ben Simmons,placed on IL with back injury
2020-02-24,Los Angeles Clippers,Paul George,,activated from IL
2020-02-25,Milwaukee Bucks,Brook Lopez,,activated from IL
2020-02-25,Chicago Bulls,,Chandler Hutchison,placed on IL with right shoulder injury (out for season)
2020-02-25,Indiana Pacers,,Jeremy Lamb,placed on IL with torn ACL in left knee (out for season)
2020-02-26,Washington Wizards,Davis Bertans,,activated from IL
2020-02-26,Phoenix Suns,,Kelly Oubre,placed on IL with right knee injury (out for season)
2020-02-26,San Antonio Spurs,,LaMarcus Aldridge,placed on IL with strained right shoulder
2020-02-26,Houston Rockets,,Eric Gordon,placed on IL with bruised right knee
2020-02-26,Cleveland Cavaliers,,Dante Exum,placed on IL with sprained left ankle (out for season)
2020-02-26,Atlanta Hawks,,Dewayne Dedmon,placed on IL with right elbow injury
2020-02-26,Cleveland Cavaliers,,Andre Drummond,placed on IL with strained left calf
2020-02-26,New York Knicks,Elfrid Payton,,activated from IL
2020-02-27,Toronto Raptors,Norman Powell,,activated from IL
2020-02-27,Golden State Warriors,,Alen Smailagic,placed on IL
2020-02-27,Indiana Pacers,Nazareth Mitrou-Long,,activated from IL
2020-02-27,Indiana Pacers,Victor Oladipo,,activated from IL
2020-02-27,Toronto Raptors,Patrick McCaw,,activated from IL
2020-02-27,Sacramento Kings,DeAaron Fox,,activated from IL
2020-02-27,Sacramento Kings,,DeAaron Fox,placed on IL with abdominal injury
2020-02-27,Philadelphia 76ers,Norvel Pelle,,activated from IL
2020-02-27,Philadelphia 76ers,,Joel Embiid,placed on IL with sprained left shoulder
2020-02-27,Los Angeles Lakers,,LeBron James,placed on IL with left groin injury
2020-02-28,Washington Wizards,,Anzejs Pasecniks,placed on IL with illness
2020-02-28,Oklahoma City Thunder,,Danilo Gallinari,placed on IL with sore left ankle
2020-02-28,Toronto Raptors,,Serge Ibaka,placed on IL with sore right knee
2020-02-28,Toronto Raptors,,Fred VanVleet,placed on IL with left shoulder injury
2020-02-28,Denver Nuggets,Vlatko Cancar,,activated from IL
2020-02-28,Miami Heat,,Gabe Vincent,placed on IL
2020-02-28,Memphis Grizzlies,,Brandon Clarke,placed on IL with right quadricep injury
2020-02-28,Milwaukee Bucks,,Khris Middleton,placed on IL with sore neck
2020-02-28,Denver Nuggets,,Noah Vonleh,placed on IL with right ankle injury
2020-02-29,Houston Rockets,Eric Gordon,,activated from IL
2020-02-29,Indiana Pacers,Edmond Sumner,,activated from IL
2020-02-29,Los Angeles Lakers,LeBron James,,activated from IL
2020-02-29,Los Angeles Lakers,,Danny Green,placed on IL with right hip injury
2020-02-29,New York Knicks,Frank Ntilikina,,activated from IL
2020-02-29,New York Knicks,,Reggie Bullock,placed on IL with illness
2020-02-29,Boston Celtics,Robert Williams,,activated from IL
2020-02-29,Miami Heat,Gabe Vincent,,activated from IL
2020-02-29,Cleveland Cavaliers,Andre Drummond,,activated from IL
2020-02-29,Cleveland Cavaliers,,Tristan Thompson,placed on IL with bruised left knee
2020-02-29,Chicago Bulls,Wendell Carter,,activated from IL
2020-02-29,Chicago Bulls,Denzel Valentine,,activated from IL
2020-02-29,New York Knicks,,Dennis Smith,placed on IL with concussion
2020-03-01,Washington Wizards,Anzejs Pasecniks,,activated from IL
2020-03-01,Toronto Raptors,Fred VanVleet,,activated from IL
2020-03-01,Toronto Raptors,,Oshae Brissett,placed on IL
2020-03-01,Dallas Mavericks,,Luka Doncic,placed on IL with sprained left thumb
2020-03-01,Los Angeles Lakers,Danny Green,,activated from IL
2020-03-01,Cleveland Cavaliers,,Darius Garland,placed on IL with strained left groin (out for season)
2020-03-01,Denver Nuggets,,Paul Millsap,placed on IL with sprained right ankle
2020-03-02,Dallas Mavericks,Luka Doncic,,activated from IL
2020-03-02,Oklahoma City Thunder,Danilo Gallinari,,activated from IL
2020-03-02,Indiana Pacers,,Victor Oladipo,placed on IL with sore right knee
2020-03-02,Dallas Mavericks,,Seth Curry,placed on IL with tightness in lower back
2020-03-02,San Antonio Spurs,,Jakob Poeltl,placed on IL with sprained MCL in right knee
2020-03-02,Chicago Bulls,Otto Porter,,activated from IL
2020-03-02,Chicago Bulls,,Zach LaVine,placed on IL with strained left quadriceps (out for season)
2020-03-02,Milwaukee Bucks,Khris Middleton,,activated from IL
2020-03-02,Portland Trailblazers,,Damian Lillard,placed on IL with strained right groin
2020-03-02,Orlando Magic,,Aaron Gordon,placed on IL with right knee inflammation
2020-03-03,Golden State Warriors,,Ky Bowman,placed on IL with sprained right ankle
2020-03-03,Oklahoma City Thunder,,Isaiah Roby,placed on IL right foot injury (out for season)
2020-03-03,San Antonio Spurs,,Marco Belinelli,placed on IL with illness
2020-03-03,Toronto Raptors,Dewan Hernandez,,activated from IL
2020-03-03,Denver Nuggets,Paul Millsap,,activated from IL
2020-03-03,Toronto Raptors,,Fred VanVleet,placed on IL with left shoulder injury
2020-03-03,Charlotte Hornets,,Devonte Graham,placed on IL with sore left ankle
2020-03-03,Boston Celtics,Kemba Walker,,activated from IL
2020-03-03,Boston Celtics,,Jayson Tatum,placed on IL with illness
2020-03-03,Philadelphia 76ers,,Josh Richardson,placed on IL with concussion
2020-03-03,Los Angeles Lakers,,Alex Caruso,placed on IL with right hamstring injury
2020-03-04,Orlando Magic,Aaron Gordon,,activated from IL
2020-03-04,Golden State Warriors,Stephen Curry,,activated from IL
2020-03-04,Detroit Pistons,,Derrick Rose,placed on IL with sprained right ankle (out for season)
2020-03-04,Detroit Pistons,,Bruce Brown,placed on IL with sore left knee
2020-03-04,Nets,,Garrett Temple,placed on IL with sprained left ankle
2020-03-04,Dallas Mavericks,Seth Curry,,activated from IL
