Date,Team,Acquired,Relinquished,Notes
2013-12-18,San Antonio Spurs,Nando De,,activated from IL
2013-12-18,San Antonio Spurs,,Tony Parker,placed on IL with bruised right shin
2013-12-18,Toronto Raptors,Julyan Stone,,activated from IL
2013-12-18,Toronto Raptors,Dwight Buycks,,activated from IL
2013-12-18,Toronto Raptors,Chuck Hayes,,activated from IL
2013-12-18,Toronto Raptors,,Dwight Buycks,placed on IL
2013-12-18,Toronto Raptors,,Austin Daye,placed on IL
2013-12-18,Detroit Pistons,,Rodney Stuckey,placed on IL with sore right shoulder
2013-12-18,New Orleans Pelicans,Anthony Davis,,activated from IL
2013-12-18,Dallas Mavericks,Dirk Nowitzki,,activated from IL
2013-12-18,Orlando Magic,Solomon Jones,,activated from IL
2013-12-18,Orlando Magic,,Arron Afflalo,placed on IL with illness
2013-12-18,New York Knicks,Tyson Chandler,,activated from IL
2013-12-18,New York Knicks,,Pablo Prigioni,placed on IL fractured right toe
2013-12-18,New York Knicks,,Amare Stoudemire,placed on IL with sore right knee
2013-12-18,Detroit Pistons,Chauncey Billups,,activated from IL
2013-12-19,San Antonio Spurs,,Tim Duncan,placed on IL for rest
2013-12-19,San Antonio Spurs,Malcolm Thomas,,activated from IL
2013-12-20,Orlando Magic,Arron Afflalo,,activated from IL
2013-12-20,Toronto Raptors,Dwight Buycks,,activated from IL (P)
2013-12-20,Toronto Raptors,,Julyan Stone,placed on IL
2013-12-20,Indiana Pacers,Danny Granger,,activated from IL
2013-12-20,Los Angeles Lakers,,Kobe Bryant,placed on IL with fractured left tibia (out for season)
2013-12-20,Indiana Pacers,,Solomon Hill,placed on IL
2013-12-20,Cleveland Cavaliers,Henry Sims,,activated from IL
2013-12-20,Cleveland Cavaliers,,Anthony Bennett,placed on IL with illness
2013-12-20,Cleveland Cavaliers,,Dion Waiters,placed on IL with sore right wrist
2013-12-20,New York Knicks,Amare Stoudemire,,activated from IL
2013-12-20,Cleveland Cavaliers,Carrick Felix,,activated from IL
2013-12-21,Utah Jazz,,Mike Harris,placed on IL
2013-12-21,New York Knicks,,Kenyon Martin,placed on IL with strained abdominal muscle
2013-12-21,Orlando Magic,,ETwaun Moore,placed on IL with bruised thigh
2013-12-21,Detroit Pistons,,Chauncey Billups,placed on IL
2013-12-21,Detroit Pistons,Rodney Stuckey,,activated from IL
2013-12-21,San Antonio Spurs,Tony Parker,,activated from IL
2013-12-21,San Antonio Spurs,Tim Duncan,,activated from IL
2013-12-21,New Orleans Pelicans,,Jason Smith,placed on IL with bone bruise in right knee
2013-12-23,San Antonio Spurs,,Cory Joseph,placed on IL with stomach virus
2013-12-23,Nets,,Brook Lopez,placed on IL with fractured right foot (out for season)
2013-12-23,Houston Rockets,,Patrick Beverley,placed on IL with fractured right hand
2013-12-23,Detroit Pistons,Chauncey Billups,,activated from IL
2013-12-23,Nets,Jason Terry,,activated from IL
