Date,Team,Acquired,Relinquished,Notes
2013-11-30,Memphis Grizzlies,,Zach Randolph,ingrown toenail (DNP)
2013-11-30,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-11-30,Boston Celtics,,Courtney Lee,sore left knee (DNP)
2013-11-30,Milwaukee Bucks,,Ersan Ilyasova,sore left hamstring (DNP)
2013-11-30,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-11-30,Atlanta Hawks,,Louis Williams,recovering from surgery on right knee (DNP)
2013-12-01,Los Angeles Clippers,,JJ Redick,fractured right hand (DNP)
2013-12-01,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-12-01,Los Angeles Lakers,,Chris Kaman,sore back (DNP)
2013-12-01,New Orleans Pelicans,,Anthony Davis,fractured left hand (out indefinitely)
2013-12-02,Houston Rockets,,Jeremy Lin,sprained right knee (DNP)
2013-12-02,Houston Rockets,,Chandler Parsons,sore back / back spasms (DNP)
2013-12-02,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-12-02,Los Angeles Lakers,,Jordan Farmar,torn left hamstring (out indefinitely)
2013-12-02,Orlando Magic,,Jameer Nelson,sprained left foot (DNP)
2013-12-03,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-12-03,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-12-03,Memphis Grizzlies,,Zach Randolph,ingrown toenail (DNP)
2013-12-03,Miami Heat,,Dwyane Wade,knee injury (DTD)
2013-12-03,Orlando Magic,,Jameer Nelson,sprained left foot (DNP)
2013-12-03,Orlando Magic,,Nikola Vucevic,sprained left ankle (DNP)
2013-12-03,Nets,,Deron Williams,sprained left ankle (DNP)
2013-12-03,Nets,,Paul Pierce,fractured right hand (DNP)
2013-12-04,Houston Rockets,,Omer Asik,bruised right thigh (DNP)
2013-12-04,Houston Rockets,,Jeremy Lin,sprained right knee (DNP)
2013-12-04,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-12-04,Houston Rockets,,Chandler Parsons,sore back (DNP)
2013-12-04,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-12-04,Los Angeles Clippers,,JJ Redick,fractured right hand (DNP)
2013-12-04,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-12-04,Charlotte Bobcats,,Michael Kidd-Gilchrist,fractured left hand (out indefinitely)
2013-12-05,Nets,,Paul Pierce,fractured right hand (DNP)
2013-12-05,Memphis Grizzlies,,Tony Allen,hip injury (DNP)
2013-12-05,Nets,,Deron Williams,sprained left ankle (DNP)
2013-12-05,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-12-05,Chicago Bulls,,Mike James,right knee injury (DNP)
2013-12-05,Los Angeles Clippers,,JJ Redick,fractured right hand (DNP)
2013-12-06,Washington Wizards,,Al Harrington,sore right knee (DNP)
2013-12-06,Houston Rockets,,Omer Asik,bruised right thigh (DNP)
2013-12-06,Houston Rockets,,Jeremy Lin,sprained right knee (DNP)
2013-12-06,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-12-06,Los Angeles Lakers,,Jordan Farmar,torn left hamstring (DNP)
2013-12-06,Orlando Magic,,Nikola Vucevic,sprained left ankle (DNP)
2013-12-06,New York Knicks,,Amare Stoudemire,resting knee injury (DNP)
2013-12-06,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-12-06,Milwaukee Bucks,,Zaur Pachulia,sprained (P) / fractured (CBC) right foot (DNP)
2013-12-06,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-12-06,Philadelphia 76ers,,Michael Carter-Williams,sore right knee (DNP)
2013-12-06,Los Angeles Lakers,,Chris Kaman,back spasms (DNP)
2013-12-07,Memphis Grizzlies,,Ed Davis,sprained right ankle (DNP)
2013-12-07,Denver Nuggets,,Ty Lawson,strained left hamstring (DNP)
2013-12-07,Nets,,Paul Pierce,fractured right hand (DNP)
2013-12-07,Nets,,Deron Williams,sprained left ankle (DNP)
2013-12-07,Memphis Grizzlies,,Tony Allen,hip injury (DNP)
2013-12-07,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-12-07,Chicago Bulls,,Luol Deng,left calf injury (DNP)
2013-12-07,Chicago Bulls,,Mike James,right knee injury (DNP)
2013-12-07,Los Angeles Clippers,,JJ Redick,fractured right hand (DNP)
2013-12-07,Milwaukee Bucks,,Zaur Pachulia,sprained right foot (P) (DNP)
2013-12-07,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-12-07,Philadelphia 76ers,,Michael Carter-Williams,sore right knee (DNP)
2013-12-08,Houston Rockets,,Omer Asik,bruised right thigh (DNP)
2013-12-08,Houston Rockets,,Jeremy Lin,sprained right knee (DNP)
2013-12-08,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-12-08,Toronto Raptors,,Rudy Gay,DNP
2013-12-08,Detroit Pistons,,Rodney Stuckey,sore left knee (DNP)
2013-12-08,Toronto Raptors,,Quincy Acy,DNP
2013-12-08,Los Angeles Lakers,,Jordan Farmar,torn left hamstring (DNP)
2013-12-08,Los Angeles Lakers,,Chris Kaman,back spasms (DNP)
2013-12-08,New York Knicks,,Kenyon Martin,sore left ankle (DNP)
2013-12-08,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-12-08,Orlando Magic,,Nikola Vucevic,sprained left ankle (DNP)
2013-12-09,Memphis Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP)
2013-12-09,Washington Wizards,,Nene Nene,right foot injury (DTD)
2013-12-09,Washington Wizards,,Martell Webster,left ankle injury (DNP)
2013-12-09,New Orleans Pelicans,,Tyreke Evans,sprained left ankle (out indefinitely)
2013-12-09,Denver Nuggets,,Ty Lawson,strained left hamstring (DNP)
2013-12-09,Orlando Magic,,Nikola Vucevic,sprained left ankle (DNP)
2013-12-09,Memphis Grizzlies,,Tony Allen,hip injury (DNP)
2013-12-09,Memphis Grizzlies,,Ed Davis,sprained left /right (CBC) ankle (DNP)
2013-12-09,Charlotte Bobcats,,Bismack Biyombo,sprained right ankle (DNP)
2013-12-09,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-12-09,Los Angeles Clippers,,JJ Redick,fractured right hand (DNP)
2013-12-09,Milwaukee Bucks,,Zaur Pachulia,fractured right foot (out indefinitely)
2013-12-09,Charlotte Bobcats,,Jeffery Taylor,bruised left heel (DNP)
2013-12-09,Philadelphia 76ers,,Michael Carter-Williams,sore right knee (DNP)
2013-12-09,Philadelphia 76ers,,Elliot Williams,back injury (DNP)
