Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2013,58,2014-03-02,@,Phoenix Suns,
Atlanta Hawks,2013,59,2014-03-05,@,Portland Trail Blazers,
Atlanta Hawks,2013,60,2014-03-07,@,Golden State Warriors,
Atlanta Hawks,2013,61,2014-03-08,@,Los Angeles Clippers,
Atlanta Hawks,2013,62,2014-03-10,@,Utah Jazz,
Atlanta Hawks,2013,63,2014-03-13,,Milwaukee Bucks,
Atlanta Hawks,2013,64,2014-03-15,,Denver Nuggets,
Atlanta Hawks,2013,65,2014-03-17,@,Charlotte Bobcats,
Atlanta Hawks,2013,66,2014-03-18,,Toronto Raptors,OT
Atlanta Hawks,2013,67,2014-03-21,,New Orleans Pelicans,
Atlanta Hawks,2013,68,2014-03-23,@,Toronto Raptors,
Atlanta Hawks,2013,69,2014-03-24,,Phoenix Suns,
Atlanta Hawks,2013,70,2014-03-26,@,Minnesota Timberwolves,
Atlanta Hawks,2013,71,2014-03-27,,Portland Trail Blazers,
Atlanta Hawks,2013,72,2014-03-29,@,Washington Wizards,
Atlanta Hawks,2013,73,2014-03-31,,Philadelphia 76ers,
Atlanta Hawks,2013,74,2014-04-02,,Chicago Bulls,
Atlanta Hawks,2013,75,2014-04-04,,Cleveland Cavaliers,
Atlanta Hawks,2013,76,2014-04-06,@,Indiana Pacers,
Atlanta Hawks,2013,77,2014-04-08,,Detroit Pistons,
Atlanta Hawks,2013,78,2014-04-09,,Boston Celtics,
Atlanta Hawks,2013,79,2014-04-11,@,Brooklyn Nets,
Atlanta Hawks,2013,80,2014-04-12,,Miami Heat,
Atlanta Hawks,2013,81,2014-04-14,,Charlotte Bobcats,
Atlanta Hawks,2013,82,2014-04-16,@,Milwaukee Bucks,
Atlanta Hawks,2013,83,2014-04-19,@,Indiana Pacers,
Atlanta Hawks,2013,84,2014-04-22,@,Indiana Pacers,
Atlanta Hawks,2013,85,2014-04-24,,Indiana Pacers,
Atlanta Hawks,2013,86,2014-04-26,,Indiana Pacers,
Atlanta Hawks,2013,87,2014-04-28,@,Indiana Pacers,
Atlanta Hawks,2013,88,2014-05-01,,Indiana Pacers,
Atlanta Hawks,2013,89,2014-05-03,@,Indiana Pacers,
Atlanta Hawks,2014,1,2014-10-29,@,Toronto Raptors,
Atlanta Hawks,2014,2,2014-11-01,,Indiana Pacers,
Atlanta Hawks,2014,3,2014-11-05,@,San Antonio Spurs,
Atlanta Hawks,2014,4,2014-11-07,@,Charlotte Hornets,2OT
Atlanta Hawks,2014,5,2014-11-08,,New York Knicks,
Atlanta Hawks,2014,6,2014-11-10,@,New York Knicks,
Atlanta Hawks,2014,7,2014-11-12,,Utah Jazz,
Atlanta Hawks,2014,8,2014-11-14,,Miami Heat,
Atlanta Hawks,2014,9,2014-11-15,@,Cleveland Cavaliers,
Atlanta Hawks,2014,10,2014-11-18,,Los Angeles Lakers,
Atlanta Hawks,2014,11,2014-11-21,,Detroit Pistons,
Atlanta Hawks,2014,12,2014-11-25,@,Washington Wizards,
Atlanta Hawks,2014,13,2014-11-26,,Toronto Raptors,
Atlanta Hawks,2014,14,2014-11-28,,New Orleans Pelicans,
Atlanta Hawks,2014,15,2014-11-29,,Charlotte Hornets,
Atlanta Hawks,2014,16,2014-12-02,,Boston Celtics,
Atlanta Hawks,2014,17,2014-12-03,@,Miami Heat,
Atlanta Hawks,2014,18,2014-12-05,@,Brooklyn Nets,
Atlanta Hawks,2014,19,2014-12-07,,Denver Nuggets,
Atlanta Hawks,2014,20,2014-12-08,@,Indiana Pacers,
Atlanta Hawks,2014,21,2014-12-10,,Philadelphia 76ers,
Atlanta Hawks,2014,22,2014-12-12,,Orlando Magic,
Atlanta Hawks,2014,23,2014-12-13,@,Orlando Magic,
Atlanta Hawks,2014,24,2014-12-15,,Chicago Bulls,
Atlanta Hawks,2014,25,2014-12-17,@,Cleveland Cavaliers,
Atlanta Hawks,2014,26,2014-12-20,@,Houston Rockets,
Atlanta Hawks,2014,27,2014-12-22,@,Dallas Mavericks,
Atlanta Hawks,2014,28,2014-12-23,,Los Angeles Clippers,
Atlanta Hawks,2014,29,2014-12-26,,Milwaukee Bucks,
Atlanta Hawks,2014,30,2014-12-27,@,Milwaukee Bucks,
Atlanta Hawks,2014,31,2014-12-30,,Cleveland Cavaliers,
Atlanta Hawks,2014,32,2015-01-02,@,Utah Jazz,
Atlanta Hawks,2014,33,2015-01-03,@,Portland Trail Blazers,
Atlanta Hawks,2014,34,2015-01-05,@,Los Angeles Clippers,
Atlanta Hawks,2014,35,2015-01-07,,Memphis Grizzlies,
Atlanta Hawks,2014,36,2015-01-09,@,Detroit Pistons,
Atlanta Hawks,2014,37,2015-01-11,,Washington Wizards,
Atlanta Hawks,2014,38,2015-01-13,@,Philadelphia 76ers,
Atlanta Hawks,2014,39,2015-01-14,@,Boston Celtics,
Atlanta Hawks,2014,40,2015-01-16,@,Toronto Raptors,
Atlanta Hawks,2014,41,2015-01-17,@,Chicago Bulls,
Atlanta Hawks,2014,42,2015-01-19,,Detroit Pistons,
Atlanta Hawks,2014,43,2015-01-21,,Indiana Pacers,
Atlanta Hawks,2014,44,2015-01-23,,Oklahoma City Thunder,
Atlanta Hawks,2014,45,2015-01-25,,Minnesota Timberwolves,
Atlanta Hawks,2014,46,2015-01-28,,Brooklyn Nets,
Atlanta Hawks,2014,47,2015-01-30,,Portland Trail Blazers,
Atlanta Hawks,2014,48,2015-01-31,,Philadelphia 76ers,
Atlanta Hawks,2014,49,2015-02-02,@,New Orleans Pelicans,
Atlanta Hawks,2014,50,2015-02-04,,Washington Wizards,
Atlanta Hawks,2014,51,2015-02-06,,Golden State Warriors,
Atlanta Hawks,2014,52,2015-02-08,@,Memphis Grizzlies,
Atlanta Hawks,2014,53,2015-02-09,@,Minnesota Timberwolves,
Atlanta Hawks,2014,54,2015-02-11,@,Boston Celtics,
Atlanta Hawks,2014,55,2015-02-20,,Toronto Raptors,
Atlanta Hawks,2014,56,2015-02-22,@,Milwaukee Bucks,
Atlanta Hawks,2014,57,2015-02-25,,Dallas Mavericks,
Atlanta Hawks,2014,58,2015-02-27,,Orlando Magic,
Atlanta Hawks,2014,59,2015-02-28,@,Miami Heat,
Atlanta Hawks,2014,60,2015-03-03,,Houston Rockets,
Atlanta Hawks,2014,61,2015-03-06,,Cleveland Cavaliers,
Atlanta Hawks,2014,62,2015-03-07,@,Philadelphia 76ers,
Atlanta Hawks,2014,63,2015-03-09,,Sacramento Kings,
Atlanta Hawks,2014,64,2015-03-11,@,Denver Nuggets,
Atlanta Hawks,2014,65,2015-03-13,@,Phoenix Suns,
Atlanta Hawks,2014,66,2015-03-15,@,Los Angeles Lakers,
Atlanta Hawks,2014,67,2015-03-16,@,Sacramento Kings,
Atlanta Hawks,2014,68,2015-03-18,@,Golden State Warriors,
Atlanta Hawks,2014,69,2015-03-20,@,Oklahoma City Thunder,
Atlanta Hawks,2014,70,2015-03-22,,San Antonio Spurs,
Atlanta Hawks,2014,71,2015-03-25,@,Orlando Magic,
Atlanta Hawks,2014,72,2015-03-27,,Miami Heat,
Atlanta Hawks,2014,73,2015-03-28,@,Charlotte Hornets,
Atlanta Hawks,2014,74,2015-03-30,,Milwaukee Bucks,
Atlanta Hawks,2014,75,2015-03-31,@,Detroit Pistons,
Atlanta Hawks,2014,76,2015-04-04,,Brooklyn Nets,
Atlanta Hawks,2014,77,2015-04-07,,Phoenix Suns,
Atlanta Hawks,2014,78,2015-04-08,@,Brooklyn Nets,
Atlanta Hawks,2014,79,2015-04-10,,Charlotte Hornets,
Atlanta Hawks,2014,80,2015-04-12,@,Washington Wizards,
Atlanta Hawks,2014,81,2015-04-13,,New York Knicks,
Atlanta Hawks,2014,82,2015-04-15,@,Chicago Bulls,
Atlanta Hawks,2014,83,2015-04-19,,Brooklyn Nets,
Atlanta Hawks,2014,84,2015-04-22,,Brooklyn Nets,
Atlanta Hawks,2014,85,2015-04-25,@,Brooklyn Nets,
Atlanta Hawks,2014,86,2015-04-27,@,Brooklyn Nets,OT
Atlanta Hawks,2014,87,2015-04-29,,Brooklyn Nets,
Atlanta Hawks,2014,88,2015-05-01,@,Brooklyn Nets,
Atlanta Hawks,2014,89,2015-05-03,,Washington Wizards,
Atlanta Hawks,2014,90,2015-05-05,,Washington Wizards,
Atlanta Hawks,2014,91,2015-05-09,@,Washington Wizards,
Atlanta Hawks,2014,92,2015-05-11,@,Washington Wizards,
Atlanta Hawks,2014,93,2015-05-13,,Washington Wizards,
Atlanta Hawks,2014,94,2015-05-15,@,Washington Wizards,
Atlanta Hawks,2014,95,2015-05-20,,Cleveland Cavaliers,
Atlanta Hawks,2014,96,2015-05-22,,Cleveland Cavaliers,
Atlanta Hawks,2014,97,2015-05-24,@,Cleveland Cavaliers,OT
Atlanta Hawks,2014,98,2015-05-26,@,Cleveland Cavaliers,
Atlanta Hawks,2015,1,2015-10-27,,Detroit Pistons,
Atlanta Hawks,2015,2,2015-10-29,@,New York Knicks,
Atlanta Hawks,2015,3,2015-10-30,,Charlotte Hornets,
Atlanta Hawks,2015,4,2015-11-01,@,Charlotte Hornets,
Atlanta Hawks,2015,5,2015-11-03,@,Miami Heat,
Atlanta Hawks,2015,6,2015-11-04,,Brooklyn Nets,
Atlanta Hawks,2015,7,2015-11-06,@,New Orleans Pelicans,
Atlanta Hawks,2015,8,2015-11-07,,Washington Wizards,
Atlanta Hawks,2015,9,2015-11-09,,Minnesota Timberwolves,
Atlanta Hawks,2015,10,2015-11-11,,New Orleans Pelicans,
Atlanta Hawks,2015,11,2015-11-13,@,Boston Celtics,
Atlanta Hawks,2015,12,2015-11-15,,Utah Jazz,
Atlanta Hawks,2015,13,2015-11-17,@,Brooklyn Nets,
Atlanta Hawks,2015,14,2015-11-18,,Sacramento Kings,
Atlanta Hawks,2015,15,2015-11-21,@,Cleveland Cavaliers,
Atlanta Hawks,2015,16,2015-11-24,,Boston Celtics,
Atlanta Hawks,2015,17,2015-11-25,@,Minnesota Timberwolves,
Atlanta Hawks,2015,18,2015-11-27,@,Memphis Grizzlies,
Atlanta Hawks,2015,19,2015-11-28,@,San Antonio Spurs,
Atlanta Hawks,2015,20,2015-11-30,,Oklahoma City Thunder,
Atlanta Hawks,2015,21,2015-12-02,,Toronto Raptors,
Atlanta Hawks,2015,22,2015-12-04,,Los Angeles Lakers,
Atlanta Hawks,2015,23,2015-12-09,@,Dallas Mavericks,
Atlanta Hawks,2015,24,2015-12-10,@,Oklahoma City Thunder,
Atlanta Hawks,2015,25,2015-12-12,,San Antonio Spurs,
Atlanta Hawks,2015,26,2015-12-14,,Miami Heat,
Atlanta Hawks,2015,27,2015-12-16,,Philadelphia 76ers,
Atlanta Hawks,2015,28,2015-12-18,@,Boston Celtics,
Atlanta Hawks,2015,29,2015-12-20,@,Orlando Magic,
Atlanta Hawks,2015,30,2015-12-21,,Portland Trail Blazers,
