Year,Season,Player,Pos,Age,Team,G,GS,MPPG
2012,regular,Grant Hill,SF,40,Los Angeles Clippers,29,0,15.1
2012,regular,Jordan Hill,PF,25,Los Angeles Lakers,29,1,15.8
2012,regular,Kirk Hinrich,PG,32,Chicago Bulls,60,60,29.4
2012,regular,Jrue Holiday,PG,22,Philadelphia 76ers,78,78,37.5
2012,regular,Justin Holiday,SG,23,Philadelphia 76ers,9,0,15.8
2012,regular,Ryan Hollins,C,28,Los Angeles Clippers,60,0,11.1
2012,regular,Tyler Honeycutt,SF,22,Sacramento Kings,9,0,3.6
2012,regular,Al Horford,C,26,Atlanta Hawks,74,74,37.2
2012,regular,Dwight Howard,C,27,Los Angeles Lakers,76,76,35.8
2012,regular,Josh Howard,SF,32,Minnesota Timberwolves,11,4,18.8
2012,regular,Juwan Howard,PF,39,Miami Heat,7,2,7.3
2012,regular,Kris Humphries,PF,27,Brooklyn Nets,65,21,18.3
2012,regular,Serge Ibaka,PF,23,Oklahoma City Thunder,80,80,31.1
2012,regular,Andre Iguodala,SG,29,Denver Nuggets,80,80,34.7
2012,regular,Ersan Ilyasova,PF,25,Milwaukee Bucks,73,54,27.6
2012,regular,Kyrie Irving,PG,20,Cleveland Cavaliers,59,59,34.7
2012,regular,Royal Ivey,SG,31,Philadelphia 76ers,53,5,13.2
2012,regular,Jarrett Jack,SG,29,Golden State Warriors,79,4,29.7
2012,regular,Reggie Jackson,PG,22,Oklahoma City Thunder,70,0,14.2
2012,regular,Stephen Jackson,SF,34,San Antonio Spurs,55,6,19.5
2012,regular,Bernard James,C,27,Dallas Mavericks,46,11,9.9
2012,regular,Damion James,SF,25,Brooklyn Nets,2,0,0.0
2012,regular,LeBron James,PF,28,Miami Heat,76,76,37.9
2012,regular,Mike James,PG,37,Dallas Mavericks,45,23,19.2
2012,regular,Antawn Jamison,PF,36,Los Angeles Lakers,76,6,21.5
2012,regular,Al Jefferson,C,28,Utah Jazz,78,78,33.1
2012,regular,Richard Jefferson,SF,32,Golden State Warriors,56,1,10.1
2012,regular,Jared Jeffries,PF,31,Portland Trailblazers,38,0,9.2
2012,regular,Charles Jenkins,SG-PG,23,TOT,59,1,7.5
2012,regular,Charles Jenkins,SG,23,Golden State Warriors,47,0,6.2
2012,regular,Charles Jenkins,PG,23,Philadelphia 76ers,12,1,12.5
2012,regular,John Jenkins,SG,21,Atlanta Hawks,61,2,14.8
2012,regular,Brandon Jennings,PG,23,Milwaukee Bucks,80,80,36.2
2012,regular,Jonas Jerebko,PF,25,Detroit Pistons,49,2,18.2
2012,regular,Amir Johnson,PF,25,Toronto Raptors,81,38,28.7
2012,regular,Chris Johnson,C,27,Minnesota Timberwolves,30,0,9.5
2012,regular,Chris Johnson,SF,22,Memphis Grizzlies,8,0,12.8
2012,regular,Ivan Johnson,PF,28,Atlanta Hawks,69,5,15.0
2012,regular,James Johnson,SF,25,Sacramento Kings,54,11,16.3
2012,regular,Joe Johnson,SG,31,Brooklyn Nets,72,72,36.7
2012,regular,Orlando Johnson,SG,23,Indiana Pacers,51,0,12.1
2012,regular,Wesley Johnson,SF,25,Phoenix Suns,50,21,19.1
2012,regular,Darius Johnson-Odom,SG,23,Los Angeles Lakers,4,0,1.5
2012,regular,Dahntay Jones,SF,32,TOT,78,19,13.0
2012,regular,Dahntay Jones,SF,32,Dallas Mavericks,50,15,12.7
2012,regular,Dahntay Jones,SF,32,Atlanta Hawks,28,4,13.6
2012,regular,DeQuan Jones,SF,22,Orlando Magic,63,17,12.7
2012,regular,Dominique Jones,PG,24,Dallas Mavericks,29,3,11.7
2012,regular,James Jones,SF,32,Miami Heat,38,0,5.8
2012,regular,Kevin Jones,PF,23,Cleveland Cavaliers,32,0,10.4
2012,regular,Perry Jones,SF,21,Oklahoma City Thunder,38,1,7.4
2012,regular,Solomon Jones,PF,28,New York Knicks,2,1,13.0
2012,regular,Terrence Jones,PF,21,Houston Rockets,19,0,14.5
2012,regular,DeAndre Jordan,C,24,Los Angeles Clippers,82,82,24.5
2012,regular,Cory Joseph,PG,21,San Antonio Spurs,28,9,13.9
2012,regular,Kris Joseph,SF,24,TOT,10,0,5.4
2012,regular,Kris Joseph,SF,24,Boston Celtics,6,0,4.0
2012,regular,Kris Joseph,SF,24,Brooklyn Nets,4,0,7.5
2012,regular,Chris Kaman,C,30,Dallas Mavericks,66,52,20.7
2012,regular,Jason Kidd,SG,39,New York Knicks,76,48,26.9
2012,regular,Michael Kidd-Gilchrist,SF,19,Charlotte Bobcats,78,77,26.0
2012,regular,Andrei Kirilenko,SF,31,Minnesota Timberwolves,64,64,31.8
2012,regular,Linas Kleiza,SF,28,Toronto Raptors,20,3,18.8
2012,regular,Brandon Knight,PG,21,Detroit Pistons,75,75,31.5
2012,regular,Kyle Korver,SF,31,Atlanta Hawks,74,60,30.5
2012,regular,Kosta Koufos,C,23,Denver Nuggets,81,81,22.4
2012,regular,Viacheslav Kravtsov,C,25,Detroit Pistons,25,0,9.0
2012,regular,Doron Lamb,SG,21,TOT,47,0,12.3
2012,regular,Doron Lamb,SG,21,Milwaukee Bucks,23,0,12.2
2012,regular,Doron Lamb,SG,21,Orlando Magic,24,0,12.4
2012,regular,Jeremy Lamb,SF,20,Oklahoma City Thunder,23,0,6.4
2012,regular,Carl Landry,PF,29,Golden State Warriors,81,2,23.2
2012,regular,Ty Lawson,PG,25,Denver Nuggets,73,71,34.4
2012,regular,Courtney Lee,SG,27,Boston Celtics,78,39,24.9
2012,regular,David Lee,PF,29,Golden State Warriors,79,79,36.8
2012,regular,Malcolm Lee,SG,22,Minnesota Timberwolves,16,12,18.1
